trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-121.33429952404198,"{0: 11, 1: 5, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-225.2288029981357,"{0: 19, 1: 3, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-118.50960498861751,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-83.88765839362138,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-91.43420595073762,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-179.39392959408963,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,6.808506400946463,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-121.56759523032879,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-134.4347773364626,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-113.3817197033032,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-21.429118029455825,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-69.59145236117976,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-69.33185743905578,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,4,-82.3727756686174,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-85.90942925432337,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-210.96175988253157,"{0: 18, 1: 1, 2: 5, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-0.32366105154946045,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-158.5909085776123,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-223.53623363403688,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-48.15229370051429,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-86.53700847823958,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-46.615345857053725,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-159.19260548817368,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-198.414308301905,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,2,-106.4976031899094,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-128.571860097414,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-120.82982563020714,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-34.346627862901826,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-96.88722259324018,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-136.94019755472377,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
