trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",30,0,-110.97042344459044,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-135.46341717193334,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-105.11371492384644,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-77.38158647699468,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-74.85500537804056,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-148.08429694986427,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-137.97710999395272,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,2,-114.09573683548089,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-24.2769917404434,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-49.10731636705289,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,8,-53.18071432508633,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-112.02264982206702,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",30,13,-18.41989943639209,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,0,-73.11549816108993,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,11,-18.408268290744818,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
