trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-62.959796131473595,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-87.1852635978685,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,0,-160.90073191642392,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-143.02462193184851,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-156.01793139839077,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-157.96794448309097,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-154.54952343498363,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9364566872907963}",30,15,-65.31042312332141,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6536436208636119}",25,0,-187.9774205937724,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,0,-36.169324244386694,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,0,-140.8371381042812,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-132.94010125212688,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.960170286650366}",20,0,-39.749467562497834,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-48.223489160511136,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-126.24101956141241,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",25,0,-158.99420360495785,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,0,-130.70115384121004,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.6020119026848236}",35,0,-186.5488698101482,"{0: 18, 1: 6, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9111302618846769}",30,0,-162.7837579957698,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,-58.09703846963488,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-47.01853567303969,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,8,-103.49705924096675,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-137.86470231332888,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.05653732249903,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-127.95423780381144,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-151.16989994809154,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-121.11509673797688,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-161.5636112470162,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-135.01394016801046,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.47472646691095,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
